!!USGS Station ID 03609750: Tennessee River at Highway 60 near Paducah, KY
197310										
YYYYMM  Flow_cms  Sed_ton  TP_ton   TN_ton  NO2+3_ton NO3_ton  Sed_sd  TP_sd   TN_sd   NO2+3_sd   NO3_sd 
199706        3450    29900     498    4190       1640   -9999    3300      59     298        223   -9999
199707        1340    11700     147    1491        431   -9999    1195      16      92         53   -9999
199708         935     9730    98.1     957        231   -9999    1043      11      60         28   -9999
199709         798     9730    86.9     773        203   -9999    1085      10      51         25   -9999
199710         844    12600     107     904        322   -9999    1375      12      60         41   -9999
199711        1050    16500     149    1282        622   -9999    1775      17      93         79   -9999
199712         876    12600     124    1349        791   -9999    1350      14     109        101   -9999
199801        3200    50500     798    7200       5230   -9999    5275      97     709        695   -9999
199802        3390    37800     668    7490       5520   -9999    3575      68     663        650   -9999
199803        2380    22000     408    5280       3620   -9999    1925      40     415        403   -9999
199804        2480    19000     435    4260       2440   -9999    1850      51     315        293   -9999
199805        2760    21200     485    4330       2140   -9999    2025      53     305        270   -9999
199806        2200    16700     345    2810       1020   -9999    1675      40     182        134   -9999
199807        1120     9060     138    1301        328   -9999     818      14      72         38   -9999
199808        1160    11700     154    1286        312   -9999    1118      17      75         38   -9999
199809         839     9750     111     872        220   -9999     965      12      53         27   -9999
199810         739    10000     109     816        256   -9999    1010      12      51         32   -9999
199811         668     9030    98.9     789        324   -9999     953      11      54         42   -9999
199812        1110    15800     201    1924       1160   -9999    1500      23     159        150   -9999
199901        3980    59500    1280    9280       6620   -9999    6400     191    1000        980   -9999
199902        2390    25000     515    5200       3690   -9999    2500      62     461        450   -9999
199903        2540    22600     536    5820       3910   -9999    2050      58     453        438   -9999
199904         605     3290    68.1     900        401   -9999     353       8      66         54   -9999
199905        1490     9790     246    2330       1020   -9999     940      28     151        126   -9999
199906         699     3920    77.4     850        205   -9999     345       8      45         23   -9999
199907        1220     9260     169    1518        368   -9999     815      18      84         42   -9999
